Volume ID	Disk Type	Size (GB)	InstanceID	Device	InstanceName	IP Address	Owner
vol-022cd8882b4b642ef	gp2	8	i-0219196421839544c	/dev/sda1	fsx2	10.0.0.149	None
vol-06f453a99f98e6387	gp2	105	i-03a67fbe4b62c7ed4	xvdf	BPaidAppServer-L5	10.0.0.94	None
vol-0de5b5d8fe0ddf605	gp2	8	i-0319ef4cac37901f3	/dev/sda1	fsx3	10.0.0.245	None
vol-083867eb74bb6186b	gp2	200	i-06d81fe08625e3237	/dev/sda1	BackupLinuxFsx	10.0.0.240	None
vol-0ced3baf7f5a3b95f	gp2	300	i-06d81fe08625e3237	/dev/sdf	BackupLinuxFsx	10.0.0.240	None
vol-04df7cf2445d020ef	gp2	200	i-0a3874b0114e96650	xvdh	O365-Fareportal-3	10.0.0.227	Gokul
vol-0f0aca09000873075	gp2	99	i-032a9d99e2d8098b0	/dev/sda1	Pausd-BulkremoveSharing	10.0.0.244	None
vol-0895fc8f33dbf61f3	gp2	99	i-0c613d65a51709bd1	/dev/sda1	DomainSecurityMailWatchChannels	10.0.0.194	None
vol-026391de2e66b6eba	gp2	200	i-05b4ef0a50f864d55	/dev/sda1	DomainSecurity-AppFirewall	10.0.0.72	None
vol-050da79f4122c10ab	gp2	99	i-0af7931ba0326604c	/dev/sda1	Backup-OnBoarding-O365-1	10.0.0.33	Gokulnath
vol-0d282f1a712b30d15	standard	100	i-0d7ffc85b289665fe	/dev/sda1	Zabbix	10.0.4.20	None
vol-0be12ac4a4cbcc372	gp2	99	i-06a602b08ecc6f2bc	/dev/sda1	SyncServer-1	10.0.0.67	None
vol-00f2c164c9bcb1f89	gp2	99	i-031124117ba7ed62f	/dev/sda1	SyncServer-2	10.0.0.201	None
vol-016c1688c824d87fd	gp2	200	i-0af7931ba0326604c	xvdg	Backup-OnBoarding-O365-1	10.0.0.33	Gokulnath
vol-09bed82fb5cb4f6cc	gp2	99	i-0b7ec7fedfb3e3dde	/dev/sda1	DomainSecurityDriveScanSpotTest	10.0.0.148	None
vol-0a551b8ce39e05a6a	gp2	99	i-093cfb69e7059a2fa	/dev/sda1	DomainSecurityDriveScan	10.0.0.226	None
vol-0fc27ff24a6b9a85c	gp2	100	i-02d29c0c79b6262c4	/dev/sda1	BPaidAppServer-L6-GDrive	10.0.0.223	None
vol-0f51ba8db764281ab	gp2	35	i-02d29c0c79b6262c4	/dev/sdf	BPaidAppServer-L6-GDrive	10.0.0.223	None
vol-0d5f2e79e57042379	gp2	396	i-0ed757dd422fc847e	xvdg	Backup-OnBoarding-2	10.0.0.236	Palani
vol-0e6a141800406e1a1	standard	99	i-0ebd13aa6f655a4f9	/dev/sda1	BPaid-AppServer-O365-3X-1	10.0.0.162	None
vol-0cad0b896e945a0f4	standard	100	i-047537d2a38650e46	/dev/sda1	BPaidAppServer-L4	10.0.0.128	None
vol-0a702f65621839ce7	standard	100	i-0beebf28416bfb1c7	/dev/sda1	BPaidAppServer-L1	10.0.0.62	None
vol-05f470e040377f19f	standard	100	i-08fdd58c09333f437	/dev/sda1	BPaidAppServer-L2	10.0.0.124	None
vol-09aea049ad65474a2	standard	100	i-0ac3b7c83bcf121b0	/dev/sda1	BPaidAppServer-L3	10.0.0.80	None
vol-0518889dc4bd8340f	standard	100	i-03a67fbe4b62c7ed4	/dev/sda1	BPaidAppServer-L5	10.0.0.94	None
vol-03bd2e3ccf262b52e	gp2	99	i-0a2bb794398549551	/dev/sda1	None	10.0.0.52	None
vol-01e3e0f34c42a5236	standard	99	i-085263e5498f7c1b8	/dev/sda1	RetentionServer	10.0.0.246	None
vol-03c514b5c4fef3e0d	gp2	99	i-0092cfd07e3b4e09b	/dev/sda1	DomainSecurityDriveWatchChannels	10.0.0.145	None
vol-08ea28974f7229e26	gp2	100	i-061833e016f817534	/dev/xvdcz	None	10.0.0.196	None
vol-0628931fde981b26e	gp2	100	i-0b9bcb8cfd656cf4b	/dev/xvdcz	None	10.0.0.222	None
vol-0b3e72ff52c44b78e	gp2	8	i-071d7cca99dde6c64	/dev/xvda	None	10.0.0.88	None
vol-0b00d6641515956b4	gp2	100	i-0eca744c7a99c2c7d	/dev/xvdcz	None	10.0.0.131	None
vol-07f948d85df22c1f4	gp2	8	i-0e11f9d5d31872e0a	/dev/xvda	None	10.0.0.179	None
vol-014019e8c99a3e3aa	gp2	8	i-0eca744c7a99c2c7d	/dev/xvda	None	10.0.0.131	None
vol-0f23bcd724b2a491a	gp2	8	i-061833e016f817534	/dev/xvda	None	10.0.0.196	None
vol-0a6fd530eb8ea8dcb	gp2	8	i-0b9bcb8cfd656cf4b	/dev/xvda	None	10.0.0.222	None
vol-0a7060383a74152fa	gp2	100	i-0837c5c674bb673a5	/dev/xvdcz	None	10.0.0.100	None
vol-037f597521f9a0a1a	gp2	100	i-071d7cca99dde6c64	/dev/xvdcz	None	10.0.0.88	None
vol-06d8ea7d6a9b240cc	gp2	100	i-0c1704d08c17dd822	/dev/xvdcz	None	10.0.0.122	None
vol-0c0b4009bba64d8f0	gp2	8	i-0d511005b8bed89ec	/dev/xvda	None	10.0.0.81	None
vol-001db52300f283919	gp2	100	i-0e11f9d5d31872e0a	/dev/xvdcz	None	10.0.0.179	None
vol-0ef331ef11e78a5da	gp2	8	i-0c1704d08c17dd822	/dev/xvda	None	10.0.0.122	None
vol-05dbc8092b3976fcd	gp2	8	i-0837c5c674bb673a5	/dev/xvda	None	10.0.0.100	None
vol-086eb3f2124485965	gp2	100	i-0d511005b8bed89ec	/dev/xvdcz	None	10.0.0.81	None
vol-01e6174e23617ceab	gp2	8	i-02300ace2c3a7e569	/dev/xvda	None	10.0.0.254	None
vol-0427556f975186e46	gp2	100	i-02300ace2c3a7e569	/dev/xvdcz	None	10.0.0.254	None
vol-08602bfb92aa63f7d	gp2	8	i-0e9e00ba6c0baee62	/dev/xvda	None	10.0.0.234	None
vol-0de99a58803af9efb	gp2	100	i-0e9e00ba6c0baee62	/dev/xvdcz	None	10.0.0.234	None
vol-0857073411c18ec31	gp2	8	i-0bcf6db71cdf36009	/dev/xvda	None	10.0.0.172	None
vol-0ae0ed7ace0ebbf9e	gp2	100	i-0bcf6db71cdf36009	/dev/xvdcz	None	10.0.0.172	None
vol-057ab778dda267b9e	gp2	8	i-01e5d2f893a9cf4a0	/dev/xvda	None	10.0.0.160	None
vol-060328cacf2bde4c2	gp2	100	i-01e5d2f893a9cf4a0	/dev/xvdcz	None	10.0.0.160	None
vol-011cebeaf40ac10eb	gp2	8	i-09112b9148d54e9d4	/dev/xvda	None	10.0.0.85	None
vol-088e4a69b4d79257c	gp2	100	i-09112b9148d54e9d4	/dev/xvdcz	None	10.0.0.85	None
vol-05d33731b2762e86f	gp2	100	i-0dc465db626f83a67	/dev/xvdcz	#N/A	#N/A	#N/A
vol-0058abba69faa4b69	gp2	8	i-0dc465db626f83a67	/dev/xvda	#N/A	#N/A	#N/A
